Growth Rate,Year,Scenario,Cumulative RRSP,Stocks,Total Tax Paid,Total Wealth
0.12,30,Max,"209,463.27",0.00,"152,007.54","753,607.48"
0.12,30,Self,"72,748.42","136,714.85","477,602.00","687,065.27"
0.12,30,Wait,"70,425.74","139,037.53","477,532.42","686,995.69"
0.12,40,Max,"1,104,801.07",0.00,"496,083.02","2,661,050.72"
0.12,40,Self,"384,929.54","719,871.54","1,272,361.96","2,377,163.03"
0.12,40,Wait,"499,429.93","605,371.14","1,282,106.36","2,386,907.44"
0.15,30,Max,"209,463.27",0.00,"152,007.54","753,607.48"
0.15,30,Self,"72,748.42","151,735.04","480,564.68","705,048.14"
0.15,30,Wait,"70,425.74","154,057.72","480,491.68","704,975.15"
0.15,40,Max,"1,104,801.07",0.00,"496,083.02","2,661,050.72"
0.15,40,Self,"384,929.54","952,031.38","1,229,889.06","2,566,849.97"
0.15,40,Wait,"499,429.93","818,840.55","1,243,760.99","2,562,031.48"
0.18,30,Max,"209,463.27",0.00,"152,007.54","753,607.48"
0.18,30,Self,"72,748.42","168,537.40","475,126.84","716,412.66"
0.18,30,Wait,"70,425.74","170,860.08","474,293.46","715,579.28"
0.18,40,Max,"1,104,801.07",0.00,"496,083.02","2,661,050.72"
0.18,40,Self,"384,929.54","1,270,144.38","1,158,009.93","2,813,083.84"
0.18,40,Wait,"499,429.93","1,115,307.52","1,176,376.69","2,791,114.15"
0.25,30,Max,"209,463.27",0.00,"152,007.54","753,607.48"
0.25,30,Self,"72,748.42","215,776.60","470,145.67","758,670.68"
0.25,30,Wait,"70,425.74","218,099.27","470,498.50","759,023.52"
0.25,40,Max,"1,104,801.07",0.00,"496,083.02","2,661,050.72"
0.25,40,Self,"384,929.54","2,547,233.98","874,183.23","3,806,346.74"
0.25,40,Wait,"499,429.93","2,328,123.68","909,041.09","3,736,594.70"
0.3,30,Max,"209,463.27",0.00,"152,007.54","753,607.48"
0.3,30,Self,"72,748.42","257,642.63","464,012.06","794,403.12"
0.3,30,Wait,"70,425.74","259,965.31","464,047.08","794,438.14"
0.3,40,Max,"1,104,801.07",0.00,"496,083.02","2,661,050.72"
0.3,40,Self,"384,929.54","4,232,301.39","490,730.67","5,107,961.59"
0.3,40,Wait,"499,429.93","3,952,890.82","539,208.81","4,991,529.56"
